subject,seed,arm,session_block_order,accuracy,balanced_accuracy,f1,roc_auc,n_windows,n_true_positive_class,n_predicted_positive,confusion_matrix
sub-50,0,tent_literal,metadata_order,0.5390070921985816,0.5392354124748491,0.5255474452554745,0.5378269617706237,141,71,66,"[[40, 30], [35, 36]]"
sub-51,0,tent_literal,metadata_order,0.5474452554744526,0.5446695095948827,0.4745762711864407,0.6057569296375267,137,67,51,"[[47, 23], [39, 28]]"
sub-52,0,tent_literal,metadata_order,0.4966887417218543,0.4974507735583685,0.5,0.564521800281294,151,79,73,"[[37, 35], [41, 38]]"
sub-53,0,tent_literal,metadata_order,0.4166666666666667,0.4166666666666667,0.4246575342465753,0.4203317901234568,144,72,74,"[[29, 43], [41, 31]]"
sub-54,0,tent_literal,metadata_order,0.5196850393700787,0.5198412698412698,0.5271317829457365,0.4712301587301588,127,63,66,"[[32, 32], [29, 34]]"
sub-55,0,tent_literal,metadata_order,0.7210884353741497,0.722047389855609,0.7544910179640718,0.7763791188448722,147,73,94,"[[43, 31], [10, 63]]"
sub-56,0,tent_literal,metadata_order,0.4930555555555556,0.4930555555555555,0.48226950354609927,0.46662808641975306,144,72,69,"[[37, 35], [38, 34]]"
sub-57,0,tent_literal,metadata_order,0.4645669291338583,0.46265090543259557,0.423728813559322,0.49019114688128773,127,56,62,"[[34, 37], [31, 25]]"
sub-58,0,tent_literal,metadata_order,0.5074626865671642,0.503584229390681,0.45901639344262296,0.5383064516129032,134,62,60,"[[40, 32], [34, 28]]"
sub-59,0,tent_literal,metadata_order,0.5227272727272727,0.5228584622489032,0.5039370078740157,0.4943431078272917,132,61,66,"[[37, 34], [29, 32]]"
sub-60,0,tent_literal,metadata_order,0.4881889763779528,0.48706467661691544,0.5112781954887218,0.4713930348258706,127,67,66,"[[28, 32], [33, 34]]"
sub-61,0,tent_literal,metadata_order,0.46621621621621623,0.46621621621621623,0.48366013071895425,0.47279035792549307,148,74,79,"[[32, 42], [37, 37]]"
sub-62,0,tent_literal,metadata_order,0.48905109489051096,0.48516858728126333,0.4166666666666667,0.4799402475458814,137,66,54,"[[42, 29], [41, 25]]"
sub-63,0,tent_literal,metadata_order,0.5142857142857142,0.518298916377019,0.47692307692307695,0.49580862809241466,140,73,57,"[[41, 26], [42, 31]]"
sub-64,0,tent_literal,metadata_order,0.5683453237410072,0.5682194616977225,0.5774647887323944,0.5387163561076604,139,70,72,"[[38, 31], [29, 41]]"
sub-65,0,tent_literal,metadata_order,0.5426356589147286,0.5383292383292383,0.48695652173913045,0.5272727272727272,129,55,60,"[[42, 32], [27, 28]]"
sub-66,0,tent_literal,metadata_order,0.5,0.5006688963210703,0.49624060150375937,0.4896321070234114,134,69,64,"[[34, 31], [36, 33]]"
sub-67,0,tent_literal,metadata_order,0.5,0.4994369369369369,0.4748201438848921,0.4793543543543543,146,72,67,"[[40, 34], [39, 33]]"
sub-68,0,tent_literal,metadata_order,0.5136986301369864,0.5136986301369864,0.5170068027210885,0.5098517545505723,146,73,74,"[[37, 36], [35, 38]]"
sub-69,0,tent_literal,metadata_order,0.5454545454545454,0.5448140900195695,0.5255474452554745,0.5140900195694716,143,70,67,"[[42, 31], [34, 36]]"
sub-70,0,tent_literal,metadata_order,0.5611510791366906,0.5615942028985508,0.5850340136054422,0.5925465838509316,139,69,78,"[[35, 35], [26, 43]]"
sub-71,0,tent_literal,metadata_order,0.528169014084507,0.5273809523809524,0.5562913907284768,0.5099206349206349,142,72,79,"[[33, 37], [30, 42]]"
sub-01,1,tent_literal,metadata_order,0.5365853658536586,0.5305958132045089,0.47706422018348627,0.5504562533548041,123,54,55,"[[40, 29], [28, 26]]"
sub-02,1,tent_literal,metadata_order,0.5522388059701493,0.5533482142857142,0.5522388059701493,0.5455357142857143,134,64,70,"[[37, 33], [27, 37]]"
sub-03,1,tent_literal,metadata_order,0.5384615384615384,0.5403131115459883,0.5714285714285714,0.5127201565557731,143,70,84,"[[33, 40], [26, 44]]"
sub-04,1,tent_literal,metadata_order,0.5303030303030303,0.5161290322580645,0.6804123711340206,0.5080645161290323,66,62,35,"[[2, 2], [29, 33]]"
sub-05,1,tent_literal,metadata_order,0.5303030303030303,0.5297359357060849,0.5507246376811594,0.5205510907003444,132,67,71,"[[32, 33], [29, 38]]"
sub-06,1,tent_literal,metadata_order,0.4782608695652174,0.48184121621621623,0.4857142857142857,0.5128800675675675,138,64,76,"[[32, 42], [30, 34]]"
sub-07,1,tent_literal,metadata_order,0.5267175572519084,0.5260270774976656,0.5441176470588235,0.5352474323062558,131,68,68,"[[32, 31], [31, 37]]"
sub-08,1,tent_literal,metadata_order,0.5354330708661418,0.5349875930521092,0.5203252032520326,0.5074441687344913,127,62,61,"[[36, 29], [30, 32]]"
sub-09,1,tent_literal,metadata_order,0.4094488188976378,0.41254372813593204,0.4094488188976378,0.42153923038480756,127,58,69,"[[26, 43], [32, 26]]"
sub-10,1,tent_literal,metadata_order,0.5285714285714286,0.5270463359869362,0.5769230769230769,0.4870381710553174,140,71,85,"[[29, 40], [26, 45]]"
sub-11,1,tent_literal,metadata_order,0.49230769230769234,0.49242424242424243,0.49230769230769234,0.4902935606060606,130,66,64,"[[32, 32], [34, 32]]"
sub-12,1,tent_literal,metadata_order,0.5040650406504065,0.501993620414673,0.5343511450381679,0.513290802764487,123,66,65,"[[27, 30], [31, 35]]"
sub-13,1,tent_literal,metadata_order,0.5177304964539007,0.518719806763285,0.5342465753424658,0.5064412238325282,141,69,77,"[[34, 38], [30, 39]]"
sub-14,1,tent_literal,metadata_order,0.49645390070921985,0.49637826961770626,0.4892086330935252,0.5146881287726358,141,70,69,"[[36, 35], [36, 34]]"
sub-15,1,tent_literal,metadata_order,0.4863013698630137,0.48630136986301364,0.46808510638297873,0.5271157815725277,146,73,68,"[[38, 35], [40, 33]]"
sub-16,1,tent_literal,metadata_order,0.5103448275862069,0.51103500761035,0.4580152671755725,0.5011415525114155,145,73,58,"[[44, 28], [43, 30]]"
sub-17,1,tent_literal,metadata_order,0.4657534246575342,0.4657534246575342,0.5,0.429724150872584,146,73,83,"[[29, 44], [34, 39]]"
sub-18,1,tent_literal,metadata_order,0.4755244755244755,0.47338551859099803,0.4094488188976378,0.5156555772994129,143,70,57,"[[42, 31], [44, 26]]"
sub-19,1,tent_literal,metadata_order,0.4861111111111111,0.4861111111111111,0.4788732394366197,0.5135030864197532,144,72,70,"[[36, 36], [38, 34]]"
sub-20,1,tent_literal,metadata_order,0.4755244755244755,0.47169996083039556,0.4,0.47023110066588325,143,69,56,"[[43, 31], [44, 25]]"
sub-21,1,tent_literal,metadata_order,0.47244094488188976,0.4722222222222222,0.48854961832061067,0.5029761904761905,127,64,67,"[[28, 35], [32, 32]]"
sub-22,1,tent_literal,metadata_order,0.3835616438356164,0.3835616438356164,0.43037974683544306,0.3950084443610433,146,73,85,"[[22, 51], [39, 34]]"
